,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
24,0.99,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,0.99,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,0.99,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,0.99,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,0.99,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,0.99,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.925,0.95375,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,0.77875,0.9825,0.9825,1.0,0.99875,0.99875,0.99875,0.99875,0.99875,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,0.84,0.95875,0.97875,0.9975,0.9975,0.99875,0.99875,0.99875,0.9975,0.9975,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,0.8525,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,0.905,0.99,0.995,0.995,0.995,0.99875,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,0.95375,0.985,0.99125,1.0,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,0.895,0.92125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,0.75875,0.9575,0.95375,0.98875,0.98875,0.9975,0.9975,0.9975,0.99625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,0.76375,0.80125,0.945,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,0.855,0.94125,0.95,0.96,0.99,0.99875,0.99875,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
